line,source,inputRms,inputPeak,outputRms,outputPeak,raw
948143,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948147,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13392, sequence=13391, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948161,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13419, sequence=13418, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948175,HL2SSMicrophoneClient,,,,,"test_microphone: packets=35879, regionSamples=2048, queuedSampleValues=1910784, sourcePlaying=True"
948182,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948186,HL2SSMicrophoneClient,,,,,"test_microphone: packets=35974, regionSamples=2048, queuedSampleValues=1913344, sourcePlaying=True"
948193,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948197,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13444, sequence=13443, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948211,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36069, regionSamples=2048, queuedSampleValues=1915904, sourcePlaying=True"
948218,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948222,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13470, sequence=13469, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948236,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36164, regionSamples=2048, queuedSampleValues=1918464, sourcePlaying=True"
948243,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948247,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13497, sequence=13496, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948261,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36258, regionSamples=2048, queuedSampleValues=1918976, sourcePlaying=True"
948268,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948272,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13524, sequence=13523, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948286,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36352, regionSamples=2048, queuedSampleValues=1919488, sourcePlaying=True"
948293,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948297,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13551, sequence=13550, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948311,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36448, regionSamples=2048, queuedSampleValues=1924096, sourcePlaying=True"
948318,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948322,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13578, sequence=13577, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948336,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36542, regionSamples=2048, queuedSampleValues=1924608, sourcePlaying=True"
948343,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948347,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13605, sequence=13604, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948361,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36637, regionSamples=2048, queuedSampleValues=1888768, sourcePlaying=True"
948368,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948372,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13633, sequence=13632, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
