line,source,inputRms,inputPeak,outputRms,outputPeak,raw
949411,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40605, regionSamples=2048, queuedSampleValues=1912832, sourcePlaying=True"
949418,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949422,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14789, sequence=14788, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949436,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40699, regionSamples=2048, queuedSampleValues=1913344, sourcePlaying=True"
949443,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949447,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14817, sequence=14816, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949461,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40793, regionSamples=2048, queuedSampleValues=1913856, sourcePlaying=True"
949468,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949472,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14844, sequence=14843, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949486,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40887, regionSamples=2048, queuedSampleValues=1914368, sourcePlaying=True"
949493,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949497,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14871, sequence=14870, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949511,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40980, regionSamples=2048, queuedSampleValues=1912832, sourcePlaying=True"
949518,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949522,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14898, sequence=14897, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949536,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41075, regionSamples=2048, queuedSampleValues=1915392, sourcePlaying=True"
949543,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949547,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14925, sequence=14924, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949561,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41169, regionSamples=2048, queuedSampleValues=1915904, sourcePlaying=True"
949568,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949572,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14953, sequence=14952, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949586,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41263, regionSamples=2048, queuedSampleValues=1916416, sourcePlaying=True"
949593,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949597,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14981, sequence=14980, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949611,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41358, regionSamples=2048, queuedSampleValues=1918976, sourcePlaying=True"
949618,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949622,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15009, sequence=15008, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949636,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41451, regionSamples=2048, queuedSampleValues=1917440, sourcePlaying=True"
949643,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949647,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15037, sequence=15036, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949661,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41545, regionSamples=2048, queuedSampleValues=1917952, sourcePlaying=True"
949668,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949672,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15065, sequence=15064, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949686,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41639, regionSamples=2048, queuedSampleValues=1918464, sourcePlaying=True"
949693,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949697,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15093, sequence=15092, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949711,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41734, regionSamples=2048, queuedSampleValues=1921024, sourcePlaying=True"
949718,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949722,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15121, sequence=15120, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949736,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41829, regionSamples=2048, queuedSampleValues=1885184, sourcePlaying=True"
949743,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949747,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15149, sequence=15148, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949761,HL2SSMicrophoneClient,,,,,"test_microphone: packets=41922, regionSamples=2048, queuedSampleValues=1883648, sourcePlaying=True"
949768,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949772,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15177, sequence=15176, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949786,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42017, regionSamples=2048, queuedSampleValues=1886208, sourcePlaying=True"
949793,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949797,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15204, sequence=15203, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949811,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42111, regionSamples=2048, queuedSampleValues=1886720, sourcePlaying=True"
949818,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949822,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15231, sequence=15230, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949836,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42206, regionSamples=2048, queuedSampleValues=1889280, sourcePlaying=True"
949843,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949847,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15259, sequence=15258, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949861,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42300, regionSamples=2048, queuedSampleValues=1889792, sourcePlaying=True"
949868,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949872,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15287, sequence=15286, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949886,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42394, regionSamples=2048, queuedSampleValues=1890304, sourcePlaying=True"
949893,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949897,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15314, sequence=15313, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949911,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42486, regionSamples=2048, queuedSampleValues=1886720, sourcePlaying=True"
949918,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949922,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15342, sequence=15341, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949936,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42582, regionSamples=2048, queuedSampleValues=1891328, sourcePlaying=True"
949943,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949947,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15370, sequence=15369, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949961,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42676, regionSamples=2048, queuedSampleValues=1891840, sourcePlaying=True"
949968,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949972,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15398, sequence=15397, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949986,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42770, regionSamples=2048, queuedSampleValues=1892352, sourcePlaying=True"
949993,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949997,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42864, regionSamples=2048, queuedSampleValues=1892864, sourcePlaying=True"
950004,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
950008,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15426, sequence=15425, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
950022,HL2SSMicrophoneClient,,,,,"test_microphone: packets=42959, regionSamples=2048, queuedSampleValues=1895424, sourcePlaying=True"
950029,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
950033,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=15453, sequence=15452, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
951965,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1, regionSamples=2048, queuedSampleValues=2048, sourcePlaying=False, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
951972,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
953126,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=2, regionSamples=2048, queuedSampleValues=4096, sourcePlaying=False, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
953133,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954028,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=60, regionSamples=2048, queuedSampleValues=4096, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954035,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954075,QuestHandDataSender,,,,,"QuestHandDataSender audio: waiting for microphone samples, position=0, availableFrames=0, neededFrames=800"
954089,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=82, regionSamples=2048, queuedSampleValues=12288, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954096,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954100,QuestHandDataSender,0.0000,0.0001,,,"QuestHandDataSender audio: sent audio frame count=11, sequence=10, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0001"
954114,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=151, regionSamples=2048, queuedSampleValues=20480, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954121,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954125,QuestHandDataSender,0.0003,0.0029,,,"QuestHandDataSender audio: sent audio frame count=45, sequence=44, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0003, inputPeak=0,0029"
954139,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=221, regionSamples=2048, queuedSampleValues=12288, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954146,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954150,QuestHandDataSender,0.0000,0.0001,,,"QuestHandDataSender audio: sent audio frame count=80, sequence=79, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0001"
954164,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=274, regionSamples=2048, queuedSampleValues=24576, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954171,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954175,QuestHandDataSender,0.0000,0.0001,,,"QuestHandDataSender audio: sent audio frame count=108, sequence=107, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0001"
954189,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=341, regionSamples=2048, queuedSampleValues=16384, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954196,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954200,QuestHandDataSender,0.0001,0.0004,,,"QuestHandDataSender audio: sent audio frame count=140, sequence=139, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0001, inputPeak=0,0004"
954214,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=403, regionSamples=2048, queuedSampleValues=22528, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954221,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954225,QuestHandDataSender,0.0002,0.0011,,,"QuestHandDataSender audio: sent audio frame count=172, sequence=171, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0002, inputPeak=0,0011"
954239,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=479, regionSamples=2048, queuedSampleValues=24576, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
954246,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
954250,QuestHandDataSender,0.0000,0.0001,,,"QuestHandDataSender audio: sent audio frame count=210, sequence=209, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0001"
954998,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=589, regionSamples=2048, queuedSampleValues=90624, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
955005,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
955009,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=241, sequence=240, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
955023,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=773, regionSamples=2048, queuedSampleValues=275456, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
955030,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
955034,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=265, sequence=264, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
955538,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=922, regionSamples=2048, queuedSampleValues=388608, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
955545,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
955794,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=290, sequence=289, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
957663,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=982, regionSamples=2048, queuedSampleValues=319488, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
957670,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
958024,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=316, sequence=315, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
959823,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1043, regionSamples=2048, queuedSampleValues=252416, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
959830,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
960219,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=342, sequence=341, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
961913,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1102, regionSamples=2048, queuedSampleValues=181248, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
961920,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
962309,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=367, sequence=366, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
963828,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1156, regionSamples=2048, queuedSampleValues=61440, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
963835,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
964189,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=393, sequence=392, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
965673,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1208, regionSamples=2048, queuedSampleValues=4096, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
965680,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
966104,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=418, sequence=417, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
967658,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1264, regionSamples=2048, queuedSampleValues=6144, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
967665,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
968054,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=445, sequence=444, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
969482,HL2SSMicrophoneClient,0.0000,0.0000,0.0000,0.0000,"test_microphone: packets=1315, regionSamples=2048, queuedSampleValues=6144, sourcePlaying=True, inputRms=0,0000, inputPeak=0,0000, outputRms=0,0000, outputPeak=0,0000"
969489,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:112)"
970504,QuestHandDataSender,0.0000,0.0000,,,"QuestHandDataSender audio: sent audio frame count=472, sequence=471, sampleRate=16000, channels=1, sampleCount=800, bytes=1600, inputRms=0,0000, inputPeak=0,0000"
